2021-01-02 00:34:43.422400 {"type":"join","timestamp":1609547683.4223895,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"ip72-197-254-201.sd.sd.cox.net"},"content":null,"modes":[]}
2021-01-02 01:24:17.817900 {"type":"join","timestamp":1609550657.81789,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-02 01:50:04.016800 {"type":"message","timestamp":1609552204.0168004,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@Cambridgeport90] \u21a9\ufe0f Thoughts? Or is the fact that OOP is considered a #antipattern by the #IndieWeb going to undo it? (https:\/\/twitter.com\/_\/status\/1345185153270894592)","modes":[]}
2021-01-02 01:50:04.314200 {"type":"message","timestamp":1609552204.3141952,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@Cambridgeport90] @wchadly Had a question for you. I need to reply on it with a webmention, but do you see Blazer as a viable framework for writing IndieWeb components? #DOTNET needs some. (https:\/\/twitter.com\/_\/status\/1345185151236665354)","modes":[]}
2021-01-02 01:55:43.006300 {"type":"message","timestamp":1609552543.006298,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307facepile\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=74153&oldid=68181&rcid=74040\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+958) \u000310Other Examples \/ USA Today, See Also\u0003\n","modes":[]}
2021-01-02 07:10:44.132000 {"type":"join","timestamp":1609571444.1320329,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-02 08:20:02.911900 {"type":"message","timestamp":1609575602.9118972,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@albertomassazza] Regina di cuori - testo e musica di Alberto Massazza - prima parte\n #songwriters #folk #folkart #folkrock   #lovesongs #guitarist #guitarplayer  #indies #indieweb #indie #IndieRockHitParade #indieworld  #singersongwriter #singers #singersunitha #singer \nhttps:\/\/www.instagram.com\/p\/CJiRMb8KjcZ\/?igshid=1b10dhhkzc00e (https:\/\/twitter.com\/_\/status\/1345283555614724098)","modes":[]}
2021-01-02 10:11:32.027600 {"type":"message","timestamp":1609582292.0276136,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Day One\u000314]]\u00034 !N\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?oldid=74154&rcid=74041\u0003 \u00035*\u0003 \u000303Loqi.me\u0003 \u00035*\u0003 (+187) \u000310prompted by jeremycherfas and dfn added by jeremycherfas\u0003\n","modes":[]}
2021-01-02 10:12:12.185900 {"type":"message","timestamp":1609582332.185881,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Day One\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=74155&oldid=74154&rcid=74042\u0003 \u00035*\u0003 \u000303Loqi.me\u0003 \u00035*\u0003 (+39) \u000310jeremycherfas added \"https:\/\/dayone.app\/\" to \"See Also\"\u0003\n","modes":[]}
2021-01-02 11:35:29.266900 {"type":"join","timestamp":1609587329.2669408,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"hoschi","nickname":"hoschi","username":"~hoschi","name":null,"photo":null,"url":null,"tz":null,"host":"p200300e4df2b53008673c1cb47753895.dip0.t-ipconnect.de"},"content":null,"modes":[]}
2021-01-02 12:17:15.617800 {"type":"message","timestamp":1609589835.6178439,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Day One\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=74156&oldid=74155&rcid=74043\u0003 \u00035*\u0003 \u000303Www.jeremycherfas.net\u0003 \u00035*\u0003 (+251) \u000310Adding links to CLI and URL callback scheme\u0003\n","modes":[]}
